pcs;prime forme;closed p;closable p;average size
7.20;0 1 2 4 7 8 9;[433452];0.0;0.148;3.03
7.21;0 1 2 4 5 8 9;[424641];0.002;0.108;3.234
7.22;0 1 2 5 6 8 9;[424542];1.0;1.0;3.008
7.23;0 2 3 4 5 7 9;[354351];0.0;0.108;3.126
7.24;0 1 2 3 5 7 9;[353442];0.0;0.276;3.204
7.25;0 2 3 4 6 7 9;[345342];0.0;0.454;3.464
7.26;0 1 3 4 5 7 9;[344532];0.248;0.4;15.652
7.27;0 1 2 4 5 7 9;[344451];0.0;0.168;3.13
7.28;0 1 3 5 6 7 9;[344433];0.884;0.884;10.572
7.29;0 1 2 4 6 7 9;[344352];0.0;0.476;3.258
7.30;0 1 2 4 6 8 9;[343542];0.002;0.002;3.018
7.31;0 1 3 4 6 7 9;[336333];0.082;0.154;16.576
7.32;0 1 3 4 6 8 9;[335442];0.0;0.0;3.404
7.33;0 1 2 4 6 8 10;[262623];0.002;0.114;3.018
7.34;0 1 3 4 6 8 10;[254442];0.004;0.488;3.062
7.35;0 1 3 5 6 8 10;[254361];0.002;0.226;3.134
7.36;0 1 2 3 5 6 8;[444342];0.242;0.308;15.916
7.37;0 1 3 4 5 7 8;[434541];1.0;1.0;7.0
7.38;0 1 2 4 5 7 8;[434442];0.002;0.17;3.102
8.1;0 1 2 3 4 5 6 7;[765442];0.544;0.804;13.852
8.2;0 1 2 3 4 5 6 8;[665542];0.008;0.018;3.922
8.3;0 1 2 3 4 5 6 9;[656542];0.008;0.008;3.06
8.4;0 1 2 3 4 5 7 8;[655552];0.096;0.244;16.548
8.5;0 1 2 3 4 6 7 8;[654553];0.002;0.006;3.308
8.6;0 1 2 3 5 6 7 8;[654463];1.0;1.0;13.0
8.7;0 1 2 3 4 5 8 9;[645652];0.004;0.5;3.086
8.8;0 1 2 3 4 7 8 9;[644563];0.0;1.0;17.0
8.9;0 1 2 3 6 7 8 9;[644464];1.0;1.0;3.008
8.10;0 2 3 4 5 6 7 9;[566452];0.98;0.98;9.324
8.11;0 1 2 3 4 5 7 9;[565552];0.066;0.138;16.68
8.12;0 1 3 4 5 6 7 9;[556543];0.0;0.004;3.3
8.13;0 1 2 3 4 6 7 9;[556453];0.102;0.22;16.556
8.14;0 1 2 4 5 6 7 9;[555562];0.0;0.476;3.202
8.15;0 1 2 3 4 6 8 9;[555553];0.122;0.16;16.352
8.16;0 1 2 3 5 7 8 9;[554563];0.002;0.004;3.62
8.17;0 1 3 4 5 6 8 9;[546652];1.0;1.0;13.0
8.18;0 1 2 3 5 6 8 9;[546553];0.076;0.114;16.536
8.19;0 1 2 4 5 6 8 9;[545752];0.1;0.18;16.352
8.20;0 1 2 4 5 7 8 9;[545662];1.0;1.0;3.008
8.21;0 1 2 3 4 6 8 10;[474643];0.132;0.394;16.464
8.22;0 1 2 3 5 6 8 10;[465562];0.0;0.004;3.442
8.23;0 1 2 3 5 7 8 10;[465472];0.004;0.004;3.1
8.24;0 1 2 4 5 6 8 10;[464743];1.0;1.0;7.0
8.25;0 1 2 4 6 7 8 10;[464644];1.0;1.0;3.008
8.26;0 1 2 4 5 7 9 10;[456562];0.0;0.0;3.128
8.27;0 1 2 4 5 7 8 10;[456553];0.0;0.326;3.258
8.28;0 1 3 4 6 7 9 10;[448444];1.0;1.0;3.008
8.29;0 1 2 3 5 6 7 9;[555553];0.08;0.106;16.56
9.1;0 1 2 3 4 5 6 7 8;[876663];0.002;0.24;3.432
9.2;0 1 2 3 4 5 6 7 9;[777663];0.004;0.01;6.78
9.3;0 1 2 3 4 5 6 8 9;[767763];0.004;0.06;6.454
9.4;0 1 2 3 4 5 7 8 9;[766773];0.058;0.082;16.676
9.5;0 1 2 3 4 6 7 8 9;[766674];0.046;0.064;16.652
9.6;0 1 2 3 4 5 6 8 10;[686763];0.326;0.374;15.512
9.7;0 1 2 3 4 5 7 8 10;[677673];0.002;0.048;4.588
9.8;0 1 2 3 4 6 7 8 10;[676764];0.148;0.16;16.216
9.9;0 1 2 3 5 6 7 8 10;[676683];0.002;0.006;3.132
9.10;0 1 2 3 4 6 7 9 10;[668664];0.004;0.004;3.066
9.11;0 1 2 3 5 6 7 9 10;[667773];0.02;0.094;5.742
9.12;0 1 2 4 5 6 8 9 10;[666963];1.0;1.0;3.008
